1,7,2,0,1,-2,-3,3,11,0
2,-8,-3,-2,0,0,-3,-4,-19,0
3,9,0,1,-2,3,4,6,3,0
4,-18,-3,-3,-2,-1,-2,-2,-5,0
5,-11,-3,-2,-1,-1,-2,-3,-8,0
6,12,2,1,3,0,3,4,17,0
7,-1,2,-2,-1,-3,0,-5,-7,0
8,-14,-6,-3,-1,4,-3,-3,-19,0
9,-6,1,0,-1,1,1,4,3,0
10,-18,-5,-2,0,-14,0,1,21,0
10,10,0,-1,-5,-3,-2,-5,-7,0
10,-3,-1,-1,-1,1,0,0,6,0
10,-14,-1,0,0,-1,1,1,7,0
10,5,-1,-3,-6,-3,5,1,-17,0
10,-6,-1,-2,-2,1,-12,-8,6,0
10,13,0,-1,9,-2,2,6,20,0
10,-1,2,0,0,-3,-2,-5,-4,0
10,-6,-5,-2,-1,1,-1,-2,-16,0
10,-4,-1,-1,-4,0,4,9,3,0
10,9,1,-1,-4,-3,-1,-5,-2,0
10,-35,-4,0,0,3,-1,0,-5,0
10,13,2,1,-1,4,-2,-5,3,0
10,3,2,0,0,-16,0,-1,6,0
10,13,-3,-3,-4,-3,-1,-2,-7,0
10,-6,1,0,-1,2,2,-1,-17,0
10,-1,-5,-2,1,5,-1,1,17,0
10,3,3,-1,1,5,3,4,7,0
10,-7,-2,-1,1,-5,-2,-2,-2,0
10,12,-1,-1,-2,-3,-4,-2,0,0
10,0,-1,-2,0,0,0,-2,-3,0
10,17,0,0,1,1,4,2,3,0
10,-24,-2,-2,-3,-1,-1,-9,-5,0
10,-1,-5,-3,-4,-1,-2,4,0,0
10,-4,0,-1,1,-2,-1,-3,-17,0
10,9,-3,-1,-2,-1,-1,-3,14,0
10,-38,1,1,0,2,-1,-5,-7,0
10,40,-1,-1,0,-5,-2,-4,2,0
10,-29,-2,-1,-3,-5,-2,5,5,0
10,-1,-2,-1,-1,0,-1,-2,-12,0
10,-5,0,-1,1,1,3,2,-5,0
10,9,1,0,1,-3,-2,-5,8,0
10,14,1,-3,-3,-2,-1,3,-6,0
10,-32,-2,-3,-1,0,-3,-7,-9,0
10,19,3,1,0,-1,3,13,29,0
10,-24,0,-3,-2,-1,-3,-5,-39,0
10,22,1,-1,1,2,-1,-3,1,0
10,-12,0,0,-1,-2,-1,-6,-2,0
10,16,0,-4,-4,-4,-2,-2,-5,0
10,-3,-1,-2,-2,-1,-1,-2,18,0
10,-2,6,3,2,1,3,7,3,0
10,0,-4,-2,-1,0,0,-5,-6,0
10,-5,-8,-3,-3,-1,-1,-4,-3,0
10,-7,-2,-1,0,-1,1,4,8,0
10,6,2,0,-1,0,0,2,-4,0
10,-5,0,2,2,7,1,6,-1,0
10,27,1,1,-12,-15,-2,1,14,0
10,-25,-1,0,1,-5,-1,-2,-20,0
10,-7,-10,-3,4,2,-4,-5,6,0
10,13,6,3,1,3,5,9,25,0
10,13,1,1,4,6,-1,0,2,0
10,4,3,1,-4,-3,0,-1,3,0
10,-6,-1,-1,-3,-1,0,0,8,0
10,7,-5,-2,0,12,-1,-2,-19,0
10,2,-3,-1,0,-3,-1,-4,12,0
10,4,0,0,-1,-11,-2,-5,-5,0
10,0,0,1,1,5,5,2,-12,0
10,-14,-4,-2,-2,1,-3,-3,-5,0
10,10,2,-1,0,6,1,2,2,0
10,-8,3,0,0,-12,-3,4,11,0
10,-5,-4,-3,-2,-3,-2,-2,-6,0
10,7,2,-3,-2,-4,-5,-2,8,0
10,-20,-8,-1,2,4,2,-4,-6,0
10,9,-4,-3,-6,5,-3,-5,5,0
10,2,-1,-3,-2,-6,1,-4,-7,0
10,11,1,2,6,-4,-6,0,4,0
10,-13,0,-1,0,2,-2,-4,-12,0
10,-32,-5,-3,-1,0,-2,-1,-9,0
10,-7,-7,-1,-2,-1,-2,-6,-2,0
10,7,1,-2,-3,-5,-1,-5,-8,0
10,12,5,1,5,-2,0,2,5,0
10,-7,-3,-1,-7,2,2,5,-12,0
10,10,-2,-3,-1,0,-6,-11,17,0
10,-8,3,2,-5,-2,3,4,-1,0
10,8,-1,-5,10,-4,-6,-2,-13,0
10,-1,1,-3,-3,6,7,5,-7,0
10,-1,-1,-3,2,-5,-11,-4,1,0
10,12,-1,-1,-2,-6,4,-4,-9,0
10,2,1,0,-5,-1,-1,2,17,0
10,15,-1,3,11,5,-8,1,10,0
10,8,6,1,3,4,11,5,-6,0
10,-3,-2,-1,3,-9,-14,-2,4,0
10,-17,1,0,-1,0,27,4,-27,0
10,1,-1,-2,-1,-1,-7,-10,10,0
10,-19,1,0,-3,-2,1,5,-2,0
