-1;-2;-1;0;-4;10;0;7;9;
-5;-2;0;2;-10;-3;-5;-2;9;
4;1;0;7;-2;5;0;1;9;
-2;-2;-3;-13;-3;-7;-3;-8;9;
1;-1;-1;1;5;1;4;4;9;
-1;0;0;-3;-3;3;3;12;9;
-3;-1;-4;0;-1;-2;-3;-19;9;
-2;-1;-1;2;-2;-3;3;6;9;
-1;-1;-2;-3;-3;-4;-4;-4;9;
-1;-2;-1;-2;3;-1;-3;-3;9;
0;-2;-2;-3;1;-4;4;6;9;
-4;0;0;0;2;1;-5;-4;9;
3;-1;1;0;-1;2;-2;0;9;
-5;-2;0;0;1;-9;13;-4;9;
11;-1;2;-1;0;3;-4;6;9;
-10;-1;-2;-1;-2;-2;-5;2;9;
0;-1;-1;7;0;-6;0;-1;9;
-3;-3;-2;-8;-1;4;-8;-7;9;
-6;-3;-2;0;-3;8;9;0;9;
7;0;1;0;1;-3;-1;4;9;
1;1;3;15;-1;-4;-4;1;9;
-5;0;-5;-25;2;-5;-1;1;9;
2;-1;-2;-6;-2;3;-3;18;9;
1;0;1;-3;-3;-8;-7;-10;9;
-9;1;-1;-3;0;1;4;14;9;
-6;-4;5;11;1;-1;1;11;9;
6;3;-13;-3;2;0;-16;-45;9;
8;0;7;7;0;3;6;17;9;
0;-3;-20;-27;-12;-20;-5;-4;9;
-3;0;-2;-4;-2;-2;-2;1;9;
-8;-6;1;-3;-1;-4;3;24;9;
-5;0;-1;5;1;5;0;-34;9;
4;2;6;3;2;4;2;-11;9;
0;-2;0;4;-2;-3;-2;7;9;
-2;-2;-2;-1;-1;-3;-4;7;9;
3;2;2;-3;-1;2;1;-6;9;
-4;-2;-2;1;0;-1;-1;3;9;
6;-1;-1;0;-2;1;-6;-12;9;
0;1;4;-2;-2;-4;-2;2;9;
-1;1;-2;2;0;-7;3;3;9;
-4;-3;0;14;-1;2;2;-2;9;
0;-1;-5;-26;0;4;-1;-5;9;
-4;-1;6;8;2;2;3;-6;9;
-2;-3;-6;-6;-1;0;-1;9;9;
1;-2;-12;-8;-1;-4;-2;1;9;
-11;1;-1;13;-2;3;3;-14;9;
16;0;1;0;-1;-6;-3;31;9;
-28;-4;-4;2;-1;3;-1;-19;9;
18;0;6;-1;-1;3;-3;1;9;
-3;1;1;5;2;-1;2;-30;9;
-5;0;-1;-1;-1;-3;3;-13;9;
5;-1;-3;-1;1;-4;-1;1;9;
-2;-1;1;-4;-2;1;-4;7;9;
1;-1;0;7;0;-1;1;10;9;
-4;-1;1;1;1;5;4;-22;9;
3;2;-3;-6;-3;0;1;8;9;
0;1;2;11;-2;-2;0;0;9;
-6;-3;-3;-8;-3;-2;-1;-26;9;
4;2;-3;-2;0;4;2;39;9;
-4;-3;6;9;-2;-4;-4;-3;9;
-8;-2;-13;-30;1;-1;-6;-46;9;
5;0;0;7;-2;-3;1;15;9;
-7;-3;-4;-4;-1;-1;-1;-13;9;
1;-1;2;4;-1;2;1;-2;9;
1;-2;4;9;2;-6;-6;16;9;
2;-2;-2;-5;-2;1;1;5;9;
-3;-2;0;-2;-1;1;-2;-14;9;
3;-2;-4;-2;0;-1;1;-3;9;
-5;0;4;3;0;-3;-5;14;9;
6;3;2;-1;2;2;1;0;9;
-2;-2;-3;1;-4;0;4;-25;9;
5;-1;-1;-2;0;-1;-1;7;9;
-1;-2;-1;-7;-2;0;8;5;9;
-3;-1;2;3;0;-3;-4;-2;9;
-5;-1;0;6;0;-9;-9;1;9;
-1;-3;-2;-5;-3;0;-6;-14;9;
1;0;2;1;0;-4;-2;23;9;
-1;-1;0;3;-1;-1;-8;-5;9;
5;3;1;0;1;0;4;-2;9;
-2;-2;-2;-2;-1;-5;2;0;9;
-2;-1;0;10;0;1;-1;4;9;
3;2;2;-6;2;6;7;3;9;
0;-2;0;5;-2;-4;-5;11;9;
-3;-2;-4;-6;-2;-1;-1;-6;9;
2;0;2;12;1;2;3;6;9;
2;-1;1;-7;1;-5;-1;0;9;
-5;-3;-5;-5;0;-1;-7;-5;9;
0;-1;0;1;-1;5;6;14;9;
-2;-3;-1;0;0;1;-1;-13;9;
-4;-3;-6;2;-2;-7;-5;-2;9;
3;0;4;-2;1;1;2;10;9;
0;1;-2;-2;0;2;-1;-20;9;
-1;-1;-2;-3;-1;-1;0;-7;9;
-1;0;1;3;-2;-1;-1;0;9;
1;0;-1;-2;0;4;3;39;9;
-5;-2;-2;-4;-1;0;0;-21;9;
2;0;0;-6;-2;-1;-3;-1;9;
3;1;0;2;-1;-1;1;15;9;
-4;-2;-1;2;-1;-3;0;-14;9;
4;1;0;-2;-1;-2;0;18;9;
-2;1;2;2;-2;0;-11;-28;9;
-2;-2;-4;0;-1;-5;2;9;9;
-2;-1;0;-1;-1;1;1;-15;9;
-6;-1;-1;3;1;4;1;0;9;
1;-1;-1;-11;0;0;4;-2;9;
0;-1;-1;6;-1;-3;-8;-2;9;
3;-1;-3;-3;-2;-4;-3;8;9;
1;-1;-3;-4;-1;2;-5;-4;9;
-5;-3;-4;1;-3;-1;1;-3;9;
0;1;-1;-2;-1;-2;5;-5;9;
-4;-2;1;1;-1;-1;-1;-6;9;
3;-1;1;11;0;-1;-1;0;9;
2;-2;-7;-19;-3;-4;-2;6;9;
-7;-3;3;3;-1;4;3;-4;9;
-3;-3;-13;-13;-1;2;1;-11;9;
-1;-1;5;8;-1;-9;-7;-2;9;
5;1;-4;8;-1;1;1;-3;9;
-1;0;-4;-10;1;0;-1;37;9;
2;1;5;10;-1;0;-4;-38;9;
-2;1;0;-10;-1;-1;1;2;9;
-2;-4;0;3;-3;0;2;4;9;
-3;-1;-3;-2;-3;-1;-4;-7;9;
0;0;1;-1;-1;-3;-3;10;9;
0;-2;-1;1;-1;5;2;9;9;
0;2;1;-1;1;-5;2;-2;9;
-1;-2;-3;-2;-3;-10;-11;-5;9;
-5;-4;-1;-1;-1;3;-1;-1;9;
6;1;-3;-6;-3;-2;5;11;9;
0;-2;3;1;0;6;-6;5;9;
-8;-1;0;3;-1;2;-2;-31;9;
-5;0;-3;-4;-1;-2;0;-32;9;
1;2;1;0;-1;-6;-6;10;9;
3;-3;-3;-5;-4;-1;-1;10;9;
-2;-4;-3;0;-1;-2;0;13;9;
-1;1;3;3;1;0;-1;-4;9;
-3;-4;-6;-4;2;0;1;-1;9;
-1;1;4;-2;-3;-7;-3;-10;9;
6;3;5;5;-1;-3;-4;3;9;
-1;-2;-7;-16;-3;1;2;13;9;
-4;-4;-2;3;-1;3;4;-6;9;
-3;-1;0;7;2;-2;-1;-16;9;
4;-2;-1;-3;0;7;6;13;9;
2;0;2;1;-2;-6;-5;6;9;
1;0;-1;2;2;-2;-2;-5;9;
-6;-2;0;-2;-2;1;1;10;9;
-1;-1;-1;-2;0;0;0;-25;9;
-1;-1;-1;2;-1;2;5;12;9;
-2;0;1;-4;-1;1;-4;-5;9;
-3;0;-2;-2;-1;0;0;0;9;
-3;-4;-1;-1;0;6;9;4;9;
1;-2;-3;-4;-2;-1;-1;15;9;
-1;3;3;-2;0;2;-11;-31;9;
-3;-4;-3;0;0;-7;1;-5;9;
2;-1;4;10;-2;-3;3;1;9;
1;-1;-1;-18;0;3;2;11;9;
-6;-5;-6;-4;1;13;19;10;9;
-2;2;2;8;0;1;-4;-7;9;
0;0;0;-8;-1;-4;-6;-12;9;
0;-1;-2;8;-1;-8;-5;6;9;
5;1;-1;-8;-3;-4;-7;-5;9;
-2;0;1;4;1;-2;-1;2;9;
-4;-2;-4;-4;-1;4;3;0;9;
0;1;0;2;-1;-4;-4;-3;9;
-3;-2;0;9;-1;-6;-3;-2;9;
0;0;1;0;-1;0;0;-12;9;
1;-1;-1;-4;-3;-5;-7;9;9;
-4;-2;0;1;0;2;2;-3;9;
2;0;1;0;1;-2;0;-1;9;
-1;-1;-4;-5;-1;9;8;3;9;
1;-1;-1;1;0;0;-2;12;9;
0;0;1;0;-2;-1;-2;0;9;
-2;-3;0;6;-2;-3;-1;14;9;
3;1;-2;-18;-1;-4;-4;-8;9;
-6;0;-2;-3;-1;-4;-6;-11;9;
-3;-3;-2;1;0;7;-1;-1;9;
3;1;0;3;0;-2;2;-15;9;
2;0;1;-1;-1;-3;-3;14;9;
-3;-1;-2;19;3;2;0;-13;9;
-3;-4;-8;-35;-3;1;1;9;9;
0;0;0;6;0;1;2;4;9;
-4;-2;1;-6;-3;-4;-7;3;9;
1;-2;3;4;-2;-2;-1;-6;9;
-2;1;1;6;0;-2;-1;-8;9;
6;0;1;3;1;1;1;22;9;
-1;1;-7;-9;-2;0;0;0;9;
0;0;-2;-4;-2;-4;-5;5;9;
-2;-3;-3;-5;-3;-5;-2;3;9;
-6;-5;-1;-2;-1;0;-3;-26;9;
2;2;3;8;1;1;-1;-4;9;
-1;0;-4;-10;-2;0;-1;4;9;
4;2;1;10;-1;-2;0;3;9;
-5;-1;-2;2;-2;0;-2;3;9;
1;3;0;1;-1;1;-1;-1;9;
-2;-2;-3;-5;-2;-4;-2;-7;9;
3;-1;2;7;-1;-1;0;5;9;
0;0;-2;-6;0;-3;-7;-9;9;
-6;1;-2;2;1;-2;-1;-16;9;
0;-3;0;-6;1;0;3;2;9;
-1;-7;-1;4;-1;0;2;-1;9;
-1;-1;-4;-3;-1;-1;1;18;9;
2;1;1;1;-1;-2;-2;-13;9;
